id,name,artists,instruments,speechiness,instrumentalness,key,mode,tempo,loudness,theme,chords_1,chords_2,chords_1_numeric,chords_2_numeric,normal_chords_1_numeric,normal_chords_2_numeric,diff_chords_1_numeric,diff_chords_2_numeric
5TtAcnZURQcOXbD1e4xr0d,What's It For?,Grace Ives,"['synthesizer', 'drums']",0.0313,0.0,5,1,140.905,-5.741,"The theme of ""What's It For?"" by Grace Ives explores feelings of existential questioning and the search for meaning in the face of life's challenges. It reflects a sense of introspection and a desire to understand the purpose behind struggles and experiences.","['C', 'G', 'Am', 'F']","['C', 'F', 'G', 'C']","[0, 7, 21, 5]","[0, 5, 7, 0]","[-5, 2, 16, 0]","[-5, 0, 2, -5]","[7, 14, -16]","[5, 2, -7]"
4LRxmh62YHxSHL4hGLq0ln,Island,Miley Cyrus,"['guitar', 'synthesizer']",0.0422,0.000671,8,1,81.975,-6.374,"I'm on an island, dirty dancing in the sun So close to heaven but so far from everyone Yeah, I've got treasures buried underneath the sand But I'm still wishing for all the love that I don't have","['C', 'G', 'Am', 'F']","['F', 'C', 'G', 'Am']","[0, 7, 21, 5]","[5, 0, 7, 21]","[-8, -1, 13, -3]","[-3, -8, -1, 13]","[7, 14, -16]","[-5, 7, 14]"
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,"['piano', 'synthesizer']",0.0427,3.04e-05,5,1,115.842,-8.334,"I didn't think you'd understand me How could you ever even try? I don't wanna tiptoe, but I don't wanna hide But I don't wanna feed this monstrous fire","['C', 'G', 'Am', 'F']","['F', 'Am', 'G', 'C']","[0, 7, 21, 5]","[5, 21, 7, 0]","[-5, 2, 16, 0]","[0, 16, 2, -5]","[7, 14, -16]","[16, -14, -7]"
6DEMMeWXfmFAXgDUMMzeg6,All I Ask,Adele,"['piano', 'strings']",0.0283,0.0,4,1,141.916,-5.494,"I will leave my heart at the door I won't say a word They've all been said before, you know So why don't we just play pretend","['F', 'Bb', 'Gm', 'C']","['F', 'Bb', 'Gm', 'C']","[5, 10, 19, 0]","[5, 10, 19, 0]","[1, 6, 15, -4]","[1, 6, 15, -4]","[5, 9, -19]","[5, 9, -19]"
2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga, Bradley Cooper","['piano', 'guitar']",0.03,0.0,7,1,95.82,-6.362,"The theme of ""Shallow"" revolves around the search for authenticity and connection in a world filled with superficiality and loneliness. The song explores the desire to break free from emotional barriers and find deeper love and meaning in life.","['Em', 'D', 'C', 'G']","['Em', 'D', 'C', 'G']","[16, 2, 0, 7]","[16, 2, 0, 7]","[9, -5, -7, 0]","[9, -5, -7, 0]","[-14, -2, 7]","[-14, -2, 7]"
1RidHM9BC4M8DpfSQ6YLJh,Up (feat. Demi Lovato),"Olly Murs, Demi Lovato","['piano', 'drum machine']",0.034,0.0,9,1,114.972,-5.389,"The theme of ""Up"" revolves around the resilience of love and the emotional highs and lows that come with relationships. The lyrics emphasize the struggle and triumph of overcoming obstacles together, highlighting the importance of support and connection in navigating life's challenges.","['C', 'G', 'Am', 'F']","['C', 'G', 'F', 'C']","[0, 7, 21, 5]","[0, 7, 5, 0]","[-9, -2, 12, -4]","[-9, -2, -4, -9]","[7, 14, -16]","[7, -2, -5]"
1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God),Kate Bush,"['piano', 'synthesizer']",0.0546,0.00308,10,0,108.376,-13.123,"It doesn't hurt me (Ye-yeah, yeah, yo) Do you want to feel how it feels? (Ye-yeah, yeah, yo) Do you want to know, know that it doesn't hurt me? (Ye-yeah, yeah, yo) Do you want to hear about the deal that I'm making? (Ye-yeah, yeah, yo)","['D', 'A', 'Bm', 'G']","['D', 'A', 'Bm', 'G']","[2, 9, 23, 7]","[2, 9, 23, 7]","[-8, -1, 13, -3]","[-8, -1, 13, -3]","[7, 14, -16]","[7, 14, -16]"
2yjlYDiNiQkdxVqTlaSrlX,Super Freaky Girl,Nicki Minaj,"['synthesizer', 'drums']",0.211,1.61e-05,2,1,133.014,-2.565,"She's alright That girl's alright with me Yeah Ay, yo","['C', 'G', 'Am', 'F']","['C', 'G', 'F', 'G']","[0, 7, 21, 5]","[0, 7, 5, 7]","[-2, 5, 19, 3]","[-2, 5, 3, 5]","[7, 14, -16]","[7, -2, 2]"
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,"['synthesizer', 'drums']",0.0328,0.000602,6,1,120.372,-4.897,I come home in the morning light My mother says when you gonna live your life right Oh mother dear we're not the fortunate ones And girls they want to have fun,"['C', 'G', 'Am', 'F']","['C', 'G', 'Am', 'F']","[0, 7, 21, 5]","[0, 7, 21, 5]","[-6, 1, 15, -1]","[-6, 1, 15, -1]","[7, 14, -16]","[7, 14, -16]"
7qtAgn9mwxygsPOsUDVRRt,Survivor,Destiny's Child,"['drums', 'bass guitar']",0.398,0.0,8,1,161.188,-2.071,"Now that you're out of my life, I'm so much better You thought that I'd be weak without you, but I'm stronger You thought that I'd be broke without you, but I'm richer You thought that I'd be sad without you, I laugh harder","['C', 'G', 'Am', 'F']","['C', 'G', 'F', 'F']","[0, 7, 21, 5]","[0, 7, 5, 5]","[-8, -1, 13, -3]","[-8, -1, -3, -3]","[7, 14, -16]","[7, -2, 0]"
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,"['guitar', 'piano']",0.438,0.0,4,1,100.43,-9.828,"For all the times that you rained on my parade And all the clubs you get in using my name You think you broke my heart, oh girl for goodness sake! You think I'm crying on my own, well I ain't","['C', 'G', 'Am', 'F']","['C', 'G', 'Am', 'F']","[0, 7, 21, 5]","[0, 7, 21, 5]","[-4, 3, 17, 1]","[-4, 3, 17, 1]","[7, 14, -16]","[7, 14, -16]"
2CMuqs9rRnhpHlpqfLkgjT,Dança Tago Mago,Kaoma,"['synthesizer', 'drums']",0.0682,0.0,11,0,112.06,-6.681,"""Dança Tago Mago"" by Kaoma celebrates the vibrant energy and cultural richness of dance and music. The lyrics convey a sense of joy and liberation, inviting listeners to immerse themselves in the festive spirit and connect through rhythm and movement.","['D', 'A', 'G', 'A']","['D', 'C', 'G', 'A']","[2, 9, 7, 9]","[2, 0, 7, 9]","[-9, -2, -4, -2]","[-9, -11, -4, -2]","[7, -2, 2]","[-2, 7, 2]"
5LuGgQITIENh6hoMbv9va4,"Hablame Del Mar, Marinero",Los Del Rio,"['guitar', 'keyboard']",0.036,2.55e-06,7,1,118.27,-4.354,"The theme of ""Hablame Del Mar, Marinero"" by Los Del Rio revolves around longing and nostalgia, as the narrator seeks connection and understanding through the tales of the sea. The lyrics evoke a sense of romantic yearning and a desire for escapism, highlighting the emotional bonds tied to both love and the ocean.","['A', 'E', 'F#m', 'D']","['A', 'E', 'D', 'C#7']","[9, 4, 18, 2]","[9, 4, 2, 1]","[2, -3, 11, -5]","[2, -3, -5, -6]","[-5, 14, -16]","[-5, -2, -1]"
2X1P55Lrz0g5X2OQd8n4c9,María Caipirinha (with Dj Dero),"Carlinhos Brown, DJ Dero","['piano', 'drums']",0.105,6.57e-06,4,0,134.053,-5.574,"The song ""María Caipirinha"" celebrates the joyful and vibrant spirit of Brazilian culture, emphasizing the lively social interactions often centered around music, dance, and traditional drinks like caipirinhas. Its lyrics convey a carefree and festive atmosphere, highlighting the connection between people and their shared enjoyment of life.","['C', 'G', 'Am', 'F']","['F', 'G', 'C', 'E']","[0, 7, 21, 5]","[5, 7, 0, 4]","[-4, 3, 17, 1]","[1, 3, -4, 0]","[7, 14, -16]","[2, -7, 4]"
0EZwKuhO0sGczVfoUg2DxN,Baila Mi Rumba - Miami Mix,José Luis Rodríguez,"['guitar', 'percussion']",0.0511,0.156,1,0,122.957,-7.562,"""Baila Mi Rumba"" by José Luis Rodríguez revolves around themes of celebration, joy, and the infectious nature of dance, inviting listeners to let loose and enjoy life through music. The song emphasizes the vibrant spirit of rumba culture, highlighting the connection between rhythm, community, and shared happiness.","['C', 'G', 'Am', 'F']","['D', 'A', 'Bm', 'G']","[0, 7, 21, 5]","[2, 9, 23, 7]","[-1, 6, 20, 4]","[1, 8, 22, 6]","[7, 14, -16]","[7, 14, -16]"
2Sb8GjA3FIEnnicRxorvrF,Zumba el Baile del Serrucho,Luciano,"['synthesizer', 'percussion']",0.152,5.75e-06,2,1,130.049,-6.594,"The song ""Zumba el Baile del Serrucho"" by Luciano celebrates the joy and energy of dancing, emphasizing a lively and playful atmosphere. Its catchy rhythm and upbeat lyrics promote a sense of fun and community, inviting listeners to join in the dance and enjoy life.","['G', 'C', 'D', 'G']","['D', 'C', 'G', 'C']","[7, 0, 2, 7]","[2, 0, 7, 0]","[5, -2, 0, 5]","[0, -2, 5, -2]","[-7, 2, 5]","[-2, 7, -7]"
44NaZmA3kI4N1mGCGq9gRl,Marinero (Marinaio),Massiel,"['guitar', 'piano']",0.156,0.000104,2,1,121.027,-8.108,"The song ""Marinero"" (Marinaio) by Massiel explores themes of longing and nostalgia, capturing the emotional turmoil associated with separation and love. The imagery of the sea and a sailor reflects the deep connection between love and the uncertainties of life.","['C', 'G', 'Am', 'F']","['F', 'C', 'G', 'C']","[0, 7, 21, 5]","[5, 0, 7, 0]","[-2, 5, 19, 3]","[3, -2, 5, -2]","[7, 14, -16]","[-5, 7, -7]"
06YZEO91Cgf65ReRXWyFJB,Bomba,Serena E I Bimbiallegri,"['trumpet', 'drums']",0.0754,7.44e-05,6,1,99.963,-5.273,"The theme of ""Bomba"" by Serena E I Bimbiallegri revolves around joy and celebration, emphasizing the excitement and energy of coming together in a festive atmosphere. The lyrics convey a sense of carefree fun, encouraging listeners to embrace life and enjoy the moments of happiness with friends and family. ","['C', 'G', 'Am', 'F']","['D', 'A', 'Bm', 'G']","[0, 7, 21, 5]","[2, 9, 23, 7]","[-6, 1, 15, -1]","[-4, 3, 17, 1]","[7, 14, -16]","[7, 14, -16]"
2ye7JtHx4Bkk6FQvLMF7at,El Negro No Puede,Las Chicas Del Can,"['saxo', 'trompeta']",0.0703,0.351,1,1,141.703,-7.87,"The song ""El Negro No Puede"" by Las Chicas Del Can explores themes of racial and social dynamics, highlighting the struggles and limitations faced by people of African descent in society. It uses upbeat rhythms and playful lyrics to convey a message about resilience and empowerment in the face of adversity.","['C', 'G', 'Am', 'F']","['F', 'C', 'G', 'Am']","[0, 7, 21, 5]","[5, 0, 7, 21]","[-1, 6, 20, 4]","[4, -1, 6, 20]","[7, 14, -16]","[-5, 7, 14]"
5WE7eGiNwgauYKajyER6VG,Crazy Love,"Mara, Robert Taylor, Beto Perez","['piano', 'guitar']",0.049,5.87e-06,9,0,129.973,-5.152,"The theme of ""Crazy Love"" revolves around the intense and overwhelming feelings of love that can consume a person, embodying both passion and vulnerability. It explores the transformative power of love, illustrating how it can bring joy and confusion simultaneously, creating a beautiful yet chaotic emotional experience.","['C', 'G', 'Am', 'F']","['F', 'G', 'C', 'Am']","[0, 7, 21, 5]","[5, 7, 0, 21]","[-9, -2, 12, -4]","[-4, -2, -9, 12]","[7, 14, -16]","[2, -7, 21]"
0WK8NzEKfSZ9mqOlaBpdfm,Ritmo de la Noche (Classic Version),The Sacados,"['synthesizer', 'drum machine']",0.0364,0.0175,9,1,125.034,-7.068,"The theme of ""Ritmo de la Noche"" revolves around the excitement and energy of nightlife, celebrating dancing and joy in the moment. It conveys a sense of liberation and connection through music, encouraging listeners to embrace the rhythm and enjoy life to the fullest.","['Am', 'F', 'C', 'G']","['Dm', 'Am', 'G', 'C']","[21, 5, 0, 7]","[14, 21, 7, 0]","[12, -4, -9, -2]","[5, 12, -2, -9]","[-16, -5, 7]","[7, -14, -7]"
4z7maGZkAonDlXlwo8q69f,Da Ya Think I'm Sexy?,Rod Stewart,"['synthesizer', 'drum machine']",0.029,0.000192,2,0,111.504,-8.065,"(Rod Stewart / Carmine Appice) Sugar, sugar She sits alone waiting for suggestions He's so nervous avoiding all the questions","['B', 'D#', 'G#m', 'F#']","['B', 'D#', 'G#m', 'F#']","[11, 3, 20, 6]","[11, 3, 20, 6]","[9, 1, 18, 4]","[9, 1, 18, 4]","[-8, 17, -14]","[-8, 17, -14]"
0cJPLFrlV7TTCyPLupHzcH,Won't Get Fooled Again - Original Album Version,The Who,"['piano', 'synthesizer']",0.0566,0.27,2,1,135.027,-6.231,"The theme of ""Won't Get Fooled Again"" revolves around disillusionment with political movements and leadership, expressing a sense of betrayal and skepticism towards those in power. It reflects a desire for change and a deep-seated cynicism about the cyclical nature of societal promises and failures.","['D', 'A', 'C', 'G']","['D', 'A', 'C', 'G']","[2, 9, 0, 7]","[2, 9, 0, 7]","[0, 7, -2, 5]","[0, 7, -2, 5]","[7, -9, 7]","[7, -9, 7]"
7dblNGnRXEBrVJunazs2U5,All I Have to Do Is Dream,The Everly Brothers,"['guitar', 'bass']",0.0266,0.0,4,1,96.195,-8.172,"The theme of ""All I Have to Do Is Dream"" revolves around the longing for a lost love and the solace found in daydreaming about that relationship. It captures the bittersweet feelings of desire and heartache, emphasizing the power of dreams as an escape from reality.","['C', 'Am', 'F', 'G']","['C', 'Am', 'F', 'G']","[0, 21, 5, 7]","[0, 21, 5, 7]","[-4, 17, 1, 3]","[-4, 17, 1, 3]","[21, -16, 2]","[21, -16, 2]"
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,"['strings', 'drums']",0.0287,3.23e-06,5,0,138.015,-7.115,I used to rule the world  Seas would rise when I gave the word  Now in the morning I sleep alone  Sweep the streets that I used to own,"['C', 'G', 'Am', 'Em']","['C', 'G', 'F', 'C']","[0, 7, 21, 16]","[0, 7, 5, 0]","[-5, 2, 16, 11]","[-5, 2, 0, -5]","[7, 14, -5]","[7, -2, -5]"
4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Kansas,"['guitar', 'organ']",0.032,8.88e-05,7,1,126.755,-5.735,"Carry on my wayward son, there'll be peace when you are done Lay your weary head to rest Don't you cry no more","['A', 'E', 'G', 'D']","['A', 'E', 'F#m', 'D']","[9, 4, 7, 2]","[9, 4, 18, 2]","[2, -3, 0, -5]","[2, -3, 11, -5]","[-5, 3, -5]","[-5, 14, -16]"
3Vby4nGmtbDo7HDJamOWkT,Stuck In The Middle With You,Stealers Wheel,"['acoustic guitar', 'electric guitar']",0.0408,0.000135,7,1,123.765,-9.144,"Well I don't know why I came here tonight, I got the feeling that something ain't right, I'm so scared in case I fall off my chair, And I'm wondering how I'll get down the stairs,","['D', 'C', 'G', 'D']","['D', 'C', 'G', 'D']","[2, 0, 7, 2]","[2, 0, 7, 2]","[-5, -7, 0, -5]","[-5, -7, 0, -5]","[-2, 7, -5]","[-2, 7, -5]"
1mfV2kv9RwFKVI8kEQlmOJ,All Day and All of the Night,The Kinks,"['electric guitar', 'drums']",0.08,8.46e-05,7,1,136.345,-5.062,I'm not content to be with you in the daytime Girl I want to be with you all of the time The only time I feel alright is by your side Girl I want to be with you all of the time,"['G', 'B', 'C', 'D']","['G', 'G', 'B', 'C']","[7, 11, 0, 2]","[7, 7, 11, 0]","[0, 4, -7, -5]","[0, 0, 4, -7]","[4, -11, 2]","[0, 4, -11]"
4d0d2llNcQIHmaCgYTrODQ,Peace Train - Remastered 2021,Yusuf / Cat Stevens,"['acoustic guitar', 'fingerstyle guitar']",0.0487,4.56e-05,0,1,82.487,-8.858,"The theme of ""Peace Train"" centers around the longing for global harmony and the hope for a more unified and compassionate world. It conveys a message of resilience and optimism, encouraging people to join together in the quest for peace and understanding amidst life's challenges.","['G', 'A', 'F#m', 'B']","['G', 'A', 'F#m', 'B']","[7, 9, 18, 11]","[7, 9, 18, 11]","[7, 9, 18, 11]","[7, 9, 18, 11]","[2, 9, -7]","[2, 9, -7]"
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,"['acoustic guitar', 'electric guitar']",0.0414,0.0114,7,1,122.861,-15.73,"So, so you think you can tell Heaven from Hell, Blue skies from pain. Can you tell a green field from a cold steel rail?  A smile from a veil?","['C', 'D', 'A', 'E']","['C', 'D', 'A', 'E']","[0, 2, 9, 4]","[0, 2, 9, 4]","[-7, -5, 2, -3]","[-7, -5, 2, -3]","[2, 7, -5]","[2, 7, -5]"
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas,"['guitar', 'organ']",0.0345,0.0,1,0,112.367,-9.786,"The theme of ""California Dreamin'"" revolves around nostalgia and longing for warmth and comfort, contrasting the cold and bleak surroundings the narrator experiences. The lyrics express a yearning for a place that symbolizes hope and happiness, reflecting a desire to escape to a better, more idyllic environment.","['C', 'B', 'A', 'E']","['C', 'B', 'A', 'E']","[0, 11, 9, 4]","[0, 11, 9, 4]","[-1, 10, 8, 3]","[-1, 10, 8, 3]","[11, -2, -5]","[11, -2, -5]"
4gM2BugovNf4bvXdjZODzG,Turn Off The Light,Nelly Furtado,"['synthesizer', 'drum machine']",0.097,0.000289,2,1,180.215,-6.222,It's getting so lonely inside this bed Don't know if I should lick my wounds or say woe is me instead And there's an aching inside my head It's telling me I'm better off alone,"['C', 'G', 'Am', 'F']","['C', 'G', 'F', 'C']","[0, 7, 21, 5]","[0, 7, 5, 0]","[-2, 5, 19, 3]","[-2, 5, 3, -2]","[7, 14, -16]","[7, -2, -5]"
44M8gY48QHhvc6vn5be10N,Me Love,Sean Kingston,"['drums', 'bass']",0.191,0.0,1,1,180.01,-3.25,Uh Uh Uh Uh Oh Ooh Why'd You Have To Go-Oh Away From Home Me Love. [x2],"['C', 'G', 'Am', 'F']","['C', 'G', 'Am', 'F']","[0, 7, 21, 5]","[0, 7, 21, 5]","[-1, 6, 20, 4]","[-1, 6, 20, 4]","[7, 14, -16]","[7, 14, -16]"
34h7O0d0ToOB60zYSFkGKH,Love On Top,Beyoncé,"['piano', 'bass']",0.0886,0.0,0,1,94.103,-5.248,Honey honey I can see the stars all the way from here Can't you see the glow on the window pane I can feel the sun whenever you're near,"['B', 'F#', 'G#m', 'E']","['B', 'F#', 'G#m', 'E']","[11, 6, 20, 4]","[11, 6, 20, 4]","[11, 6, 20, 4]","[11, 6, 20, 4]","[-5, 14, -16]","[-5, 14, -16]"
27tNWlhdAryQY04Gb2ZhUI,Roar,Katy Perry,"['drums', 'synthesizer']",0.0316,7.28e-06,7,0,90.003,-4.821,"I used to bite my tongue and hold my breath Scared to rock the boat and make a mess So I sat quietly, agreed politely I guess that I forgot I had a choice","['C', 'G', 'Am', 'F']","['C', 'G', 'Am', 'F']","[0, 7, 21, 5]","[0, 7, 21, 5]","[-7, 0, 14, -2]","[-7, 0, 14, -2]","[7, 14, -16]","[7, 14, -16]"
3oDFtOhcN08qeDPAK6MEQG,Boom Boom Pow,Black Eyed Peas,"['synthesizer', 'drum machine']",0.0664,0.0017,9,1,130.049,-5.894,"Gotta get that, gotta get that, gotta get that Gotta get that, that, that, that-that (Boom boom boom) Gotta get that (Boom boom boom)","['F#m', 'D', 'A', 'E']","['F#m', 'D', 'A', 'E']","[18, 2, 9, 4]","[18, 2, 9, 4]","[9, -7, 0, -5]","[9, -7, 0, -5]","[-16, 7, -5]","[-16, 7, -5]"
1XyL3J7eTTKnxRZAM3LqIT,Beggin (original version),Madcon,"['piano', 'guitar']",0.057,0.0,4,0,129.023,-5.144,"Oooooh- Put your loving hand out, baby I'm beggin Beggin, beggin you","['D', 'A', 'Bm', 'G']","['D', 'A', 'G', 'D']","[2, 9, 23, 7]","[2, 9, 7, 2]","[-2, 5, 19, 3]","[-2, 5, 3, -2]","[7, 14, -16]","[7, -2, -5]"
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,"['synthesizer', 'drums']",0.0619,0.0,1,1,128.038,-3.804,"Oh don't you dare look back just keep your eyes on me. I said your holding back, She said shut up and dance with me!","['F', 'G', 'Am', 'C']","['F', 'G', 'Am', 'C']","[5, 7, 21, 0]","[5, 7, 21, 0]","[4, 6, 20, -1]","[4, 6, 20, -1]","[2, 14, -21]","[2, 14, -21]"
1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,"['guitar', 'bass']",0.0687,0.0,1,0,130.009,-6.075,"J.R., Sean Kingston You're way too beautiful girl That's why it'll never work You'll have me suicidal, suicidal","['A', 'D', 'F#m', 'C#']","['A', 'D', 'F#m', 'C#']","[9, 2, 18, 1]","[9, 2, 18, 1]","[8, 1, 17, 0]","[8, 1, 17, 0]","[-7, 16, -17]","[-7, 16, -17]"
6MFQeWtk7kxWGydnJB2y36,These Words,Natasha Bedingfield,"['piano', 'drums']",0.0815,0.0,5,1,96.987,-7.03,"These words are my own Threw some chords together The combination D-E-F It's who I am, is what I do","['G', 'D', 'Em', 'C']","['G', 'D', 'C', 'G']","[7, 2, 16, 0]","[7, 2, 0, 7]","[2, -3, 11, -5]","[2, -3, -5, 2]","[-5, 14, -16]","[-5, -2, 7]"
1Jo0Zg7XlrA6z0mFTZVdkn,Don't Stop The Music,Rihanna,"['drums', 'bass']",0.0637,7.18e-05,6,0,122.669,-5.582,Please don't stop the music Please don't stop the music Please don't stop the music Please don't stop the music,"['Bm', 'E', 'A', 'F#']","['Bm', 'E', 'A', 'F#']","[23, 4, 9, 6]","[23, 4, 9, 6]","[17, -2, 3, 0]","[17, -2, 3, 0]","[-19, 5, -3]","[-19, 5, -3]"
0OPyDgTRuIdCJ9B4bYSths,Hotel Room Service,Pitbull,"['synthesizer', 'drum machine']",0.227,0.000406,1,1,126.002,-8.401,DJ Jim Johnson I want everybody to stop what they doing (Mr. 305) Now if you know you're with somebody,"['C', 'G', 'Am', 'F']","['C', 'G', 'Am', 'F']","[0, 7, 21, 5]","[0, 7, 21, 5]","[-1, 6, 20, 4]","[-1, 6, 20, 4]","[7, 14, -16]","[7, 14, -16]"
2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie","['synthesizer', 'drum machine']",0.0568,0.0,9,0,102.002,-4.729,"The theme of ""Rockabye"" revolves around a single mother's struggles to provide for her child while facing the challenges of life. It highlights resilience, love, and the determination to overcome hardships for the sake of family.","['Em', 'C', 'G', 'D']","['Em', 'C', 'G', 'D']","[16, 0, 7, 2]","[16, 0, 7, 2]","[7, -9, -2, -7]","[7, -9, -2, -7]","[-16, 7, -5]","[-16, 7, -5]"
